이름,평점,주소,좌표,구,위도,경도,Cluster
두껍삼,-,서울특별시 금천구 벚꽃로38길 43,"(37.4829807, 126.8847436)",금천구,37.482980700000006,126.8847436,[17]
스쿨푸드,-,서울특별시 금천구 디지털로9길 23 마리오아울렛 3관 12F,"(37.4785992, 126.8851547)",금천구,37.478599200000005,126.8851547,[17]
스시옥,-,서울특별시 금천구 시흥대로 399 1F,"(37.4693273, 126.8970414)",금천구,37.469327299999996,126.8970414,[17]
상아탑분식,4.6,서울특별시 금천구 금하로29길 3,"(37.4503182, 126.9123408)",금천구,37.450318200000005,126.91234080000001,[]
하남돼지집,-,서울특별시 금천구 시흥대로52길 16,"(37.4520012, 126.9026655)",금천구,37.452001200000005,126.9026655,[24]
통영해물가,-,서울특별시 금천구 벚꽃로46길 1-5,"(37.4831035, 126.882486)",금천구,37.4831035,126.88248600000001,[17]
마하나콘,-,서울특별시 금천구 범안로 1130 디지털엠파이어빌딩 112호,"(37.465603, 126.8876967)",금천구,37.465603,126.88769669999999,[]
봉베이커리,-,서울특별시 금천구 독산로 247,"(37.4689425, 126.9020731)",금천구,37.4689425,126.9020731,[17]
카페 트리니티 블랙,-,서울특별시 금천구 가산디지털2로 108 뉴티캐슬 1F 104호,"(37.4778772, 126.8806482)",금천구,37.47787720000001,126.88064820000001,[17]
인생양대창,-,서울특별시 금천구 시흥대로52길 42,"(37.4531618, 126.9021942)",금천구,37.4531618,126.90219420000001,[24]
삼팔교자관,-,서울특별시 금천구 가산디지털1로 168,"(37.4798346, 126.8824997)",금천구,37.479834600000004,126.8824997,[17]
순대의명가미각,-,서울특별시 금천구 벚꽃로 309,"(37.4822545, 126.8821832)",금천구,37.482254499999996,126.8821832,[17]
라시쓰커피,-,서울특별시 금천구 가산디지털2로 70 대륭테크노타운 19차 104호,"(37.4746528, 126.8822218)",금천구,37.4746528,126.88222179999998,[17]
본스치킨,-,서울특별시 금천구 벚꽃로 298 대륭 포스트타워 6차,"(37.4813244, 126.8837789)",금천구,37.4813244,126.88377890000001,[17]
와룽 마칸 보로부둘,-,서울특별시 금천구 벚꽃로 278 SJ테크노빌 B1 156-3호,"(37.4795438, 126.8844256)",금천구,37.479543799999995,126.8844256,[17]
